time,sp,pv
0.0,0.0,0.0
0.5,0.0,0.0
1.0,0.0,0.0
1.5,0.0,0.0
2.0,0.0,0.0
2.5,0.0,0.0
3.0,0.0,0.0
3.5,0.0,0.0
4.0,0.0,0.0
4.5,0.0,0.0
5.0,0.0,0.0
5.5,0.0,0.0
6.0,0.0,0.0
6.5,0.0,0.0
7.0,0.0,0.0
7.5,0.0,0.0
8.0,0.0,0.0
8.5,0.0,0.0
9.0,0.0,0.0
9.5,0.0,0.0
10.0,0.0,0.0
10.5,0.0,0.0
11.0,0.0,0.0
11.5,0.0,0.0
12.0,0.0,0.0
12.5,0.0,0.0
13.0,0.0,0.0
13.5,0.0,0.0
14.0,0.0,0.0
14.5,0.0,0.0
15.0,0.0,0.0
15.5,0.0,0.0
16.0,0.0,0.0
16.5,0.0,0.0
17.0,0.0,0.0
17.5,0.0,0.0
18.0,0.0,0.0
18.5,0.0,0.0
19.0,0.0,0.0
19.5,0.0,0.0
20.0,1.0,0.0
20.5,1.0,0.0
21.0,1.0,0.0
21.5,1.0,0.0
22.0,1.0,0.0
22.5,1.0,0.0
23.0,1.0,0.0
23.5,1.0,0.0
24.0,1.0,0.0
24.5,1.0,0.0
25.0,1.0,0.04017857142857143
25.5,1.0,0.08024553571428572
26.0,1.0,0.1202036830357143
26.5,1.0,0.1600557338169643
27.0,1.0,0.1998043404715402
27.5,1.0,0.23945208910260884
28.0,1.0,0.2790015011607579
28.5,1.0,0.31845503506031037
29.0,1.0,0.3578150877552312
29.5,1.0,0.3970839962756361
30.0,1.0,0.43044053795037784
30.5,1.0,0.4610995593124177
31.0,1.0,0.48992305126560143
31.5,1.0,0.5171454575681355
32.0,1.0,0.5428337601071815
32.5,1.0,0.5670101712414942
33.0,1.0,0.5896848546212107
33.5,1.0,0.6108646535291038
34.0,1.0,0.6305554211569483
34.5,1.0,0.6487626446624264
35.0,1.0,0.6663356752150648
35.5,1.0,0.6831947803819926
36.0,1.0,0.699267429407389
36.5,1.0,0.7145508493366389
37.0,1.0,0.7290788118763474
37.5,1.0,0.7428994750650211
38.0,1.0,0.7560659310046074
38.5,1.0,0.7686327439434897
39.0,1.0,0.7806547795794438
39.5,1.0,0.7921868302763431
40.0,1.0,0.8031611631393857
40.5,1.0,0.8135892797893908
41.0,1.0,0.8235048638379304
41.5,1.0,0.8329393072300303
